	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
276	HKO16_RS05375	259.799903539283	0.997798259501707	0.187916491493137	5.30979613110832	1.09747928246334e-07	4.30502033356966e-07
277	HKO16_RS05380	51.1308716222023	2.33779466639112	0.376818479366273	6.2040340227549	5.50338799559853e-10	2.7642520643664e-09
278	HKO16_RS05395	6.07511380763704	2.41575502262865	0.960460564127806	2.51520480158641	0.011896325541116	0.0217363526244415
279	HKO16_RS05410	248.918100813568	0.988206442973731	0.223937755702669	4.41286213605629	1.0201296067083e-05	3.13152172953441e-05
280	HKO16_RS05415	33.3868691756587	1.24048682875011	0.407866876382938	3.04140125266129	0.0023547979104287	0.00493650071754858
281	HKO16_RS05420	11.6667567529891	2.82523042317108	0.605943949162664	4.6625276596543	3.12349090276757e-06	1.02797739297768e-05
282	HKO16_RS05430	95.8541253111333	0.580722837862387	0.238271282952374	2.43723385658046	0.0148001044427013	0.0266003798388992
283	HKO16_RS05445	5.60241376306959	2.78605708780834	1.27502846369996	2.18509403289992	0.028881952682608	0.0484864364909462
284	HKO16_RS05455	309.687932028434	0.735565423196739	0.182457650176675	4.03143097855576	5.54382779793646e-05	0.0001515339928406
285	HKO16_RS05475	64.0367812959241	3.2208728496994	0.327130480100605	9.84583536425241	7.14432269231061e-23	9.77123408721735e-22
286	HKO16_RS05490	7.66138652768524	2.04625869514733	0.735033653166898	2.78389797029158	0.00537099267038634	0.0105336764007263
287	HKO16_RS05505	50.861736387231	2.27522458704848	0.318026285524854	7.15420294046943	8.41604827532073e-13	5.46750913997399e-12
288	HKO16_RS05510	15.6199437633798	1.61866671915975	0.534881042886915	3.02621814828829	0.00247633571118174	0.00515949233365371
289	HKO16_RS05535	487.401034577608	1.14177606988778	0.136188018968236	8.38382170867826	5.1236382003824e-17	4.90349210890817e-16
290	HKO16_RS05555	1342.65461451823	0.991426693145913	0.19241094547266	5.15265226055856	2.56827939567323e-07	9.64397070272935e-07
291	HKO16_RS05560	2274.68164818153	0.609041498087573	0.142442039028254	4.27571454496497	1.90525219386728e-05	5.57860227656601e-05
292	HKO16_RS05570	7.18497262472862	3.61676499192187	0.826377469675551	4.37665004751626	1.20517236581859e-05	3.66945076720356e-05
293	HKO16_RS05575	3.70348643083492	3.31846440198856	1.04317878299558	3.18110802873051	0.00146712909922603	0.00317157544153888
294	HKO16_RS05580	2.86227194822773	2.68017943346585	1.20985604993951	2.21528787131316	0.0267403118081035	0.0452565566648229
295	HKO16_RS05585	12.842632766814	5.10071370617618	0.944054723351466	5.40298520838734	6.55408663168057e-08	2.64567337386717e-07
296	HKO16_RS05590	66.2377274576178	3.25342655930661	0.325607763419802	9.9918580722291	1.65450899058467e-23	2.42791084030111e-22
297	HKO16_RS05595	59.5030375015335	4.34994704232732	0.397800162702699	10.9350056892217	7.84010638761643e-28	1.45236030210201e-26
298	HKO16_RS05600	16.3499691073799	4.29387590250794	0.734529479877346	5.84575026617712	5.04290130078876e-09	2.33257560785557e-08
299	HKO16_RS05605	20.3416636531984	4.10950682714326	0.764760287250675	5.37358816305303	7.71850389572486e-08	3.09235991197028e-07
300	HKO16_RS05610	105.927583477736	0.446398990073952	0.173858854818349	2.56759421624143	0.0102406956004355	0.0189894365395588
301	HKO16_RS05615	2.49916585948972	2.38679441697928	1.01510224715749	2.35128473379192	0.0187087114062065	0.0327906314201521
302	HKO16_RS05620	53.3886673641931	5.13766709801931	0.461103300695966	11.1421173742734	7.82368282328148e-29	1.54085374340628e-27
303	HKO16_RS05625	18.3067563895438	6.94644513935467	1.08144009802313	6.42332862638693	1.33326228620696e-10	7.11707200426026e-10
304	HKO16_RS05630	80.8783984617532	5.33402467352207	0.458384194390064	11.6365807085029	2.68568075740327e-31	6.20359098407596e-30
305	HKO16_RS05635	38.0010644038769	4.51972527844389	0.79423741979829	5.69064761465375	1.26558448381743e-08	5.56500251286112e-08
306	HKO16_RS05640	18.4593649031005	3.1800665277867	0.580885626049481	5.47451406125138	4.38713806748612e-08	1.82205001648536e-07
307	HKO16_RS05645	6.92397964421046	3.59530791888454	1.06888598894634	3.36360281270843	0.00076932174952323	0.00175536706507069
308	HKO16_RS05650	5.192900737398	3.25285338630841	1.00326557861843	3.24226551337266	0.0011858348747882	0.00261947703746013
309	HKO16_RS05660	5.57475436891011	4.19505296769905	0.960919386067095	4.36566587012964	1.26736086018656e-05	3.84940287241728e-05
310	HKO16_RS05695	9.42091225335962	1.5856010960685	0.627235236550967	2.52792095161519	0.0114740182621179	0.021067450835864
311	HKO16_RS05700	24.8351921179884	1.22717358027401	0.430691912164427	2.84930723241794	0.00438145477569159	0.0087395542487409
312	HKO16_RS05705	16.6912730314448	1.59642025622888	0.542165042705298	2.94452819802444	0.00323447471271646	0.00660666177673853
313	HKO16_RS05730	27.5605391561866	1.63975051916289	0.367905053490472	4.45699373685108	8.31170305765085e-06	2.57044568939913e-05
314	HKO16_RS05735	7.02172392421369	1.72406241958123	0.749677063668712	2.29974011895755	0.0214629477645169	0.0370966977066153
315	HKO16_RS05740	11.3029314650901	2.03931641741922	0.650227407517551	3.13631260977594	0.00171086731745148	0.00365414697597227
316	HKO16_RS05755	21.8026504650534	1.34043143520532	0.438834191664332	3.05452824931798	0.00225414784433615	0.00474143970405052
317	HKO16_RS05760	6.17227826562188	3.53447519613375	0.964152742782333	3.66588719743101	0.00024648256319999	0.00060283513169566
318	HKO16_RS05770	13.5948914315823	2.66372288159153	0.55288123147495	4.81789348226812	1.45081782749211e-06	4.9715753758933e-06
319	HKO16_RS05780	49.8749554259485	1.47623012425515	0.343509675232687	4.29749212523688	1.72741395568357e-05	5.10583177106471e-05
320	HKO16_RS05790	25.12072577253	1.88727552522627	0.447161812656436	4.22056506573003	2.43690705966495e-05	6.99839310611377e-05
321	HKO16_RS05810	46.7823624289497	1.39335194762205	0.290158235053964	4.80204171135418	1.57055966061001e-06	5.36225752737468e-06
322	HKO16_RS05825	145.791323033869	1.74864797102205	0.246378858727751	7.09739455751886	1.27130731010983e-12	8.20212405936379e-12
323	HKO16_RS05835	114.416070350395	4.72952084808743	0.335434286660426	14.0996941462795	3.81419186475244e-45	1.64054091470157e-43
324	HKO16_RS05840	44.3819930031168	3.50946539951431	0.408691252844402	8.58708224139665	8.9205781149806e-18	9.06212751357845e-17
325	HKO16_RS05860	2347.02064012041	0.630013370285029	0.121113657486525	5.2018358900203	1.97329439400395e-07	7.49651535265257e-07
326	HKO16_RS05865	80.7953974265795	0.545149285188857	0.188190096032768	2.89680114246785	0.00376988632938705	0.00762123967831786
327	HKO16_RS05870	1198.60892089131	1.87803116920803	0.141285445742854	13.2924602341994	2.56019681582897e-40	9.30121988818641e-39
